,Iteration,distance,best_run,states,best_score
196,196,1288,6760,9778,43
197,197,920,6760,9786,43
198,198,836,6760,9786,43
199,199,1952,6760,9807,43
200,200,2024,6760,9832,43
201,201,1944,6760,9832,43
202,202,1884,6760,9842,43
203,203,2692,6760,9842,43
204,204,3204,6760,9855,43
205,205,3356,6760,9855,43
206,206,5280,6760,9855,43
207,207,5432,6760,9855,43
208,208,2768,6760,9855,43
209,209,2612,6760,9855,43
210,210,2024,6760,9855,43
211,211,2320,6760,9869,43
212,212,2912,6760,9869,43
213,213,2912,6760,9869,43
214,214,2332,6760,9869,43
215,215,1432,6760,9869,43
216,216,4392,6760,9869,43
217,217,2176,6760,9871,43
218,218,1144,6760,9878,43
219,219,1436,6760,9878,43
220,220,776,6760,9878,43
221,221,908,6760,9880,43
222,222,1800,6760,9880,43
223,223,1648,6760,9880,43
224,224,5728,6760,9884,43
225,225,2984,6760,9885,43
226,226,972,6760,9885,43
227,227,1064,6760,9885,43
228,228,2692,6760,9885,43
229,229,2024,6760,9886,43
230,230,912,6760,9891,43
231,231,1508,6760,9892,43
232,232,1656,6760,9892,43
233,233,2768,6760,9894,43
234,234,3872,6760,9894,43
235,235,2616,6760,9894,43
236,236,1728,6760,9894,43
237,237,2096,6760,9894,43
238,238,2184,6760,9894,43
239,239,1288,6760,9896,43
240,240,1920,6760,9896,43
241,241,1956,6760,9897,43
242,242,2020,6760,9899,43
243,243,2172,6760,9899,43
244,244,3504,6760,9899,43
245,245,1880,6760,9899,43
246,246,2548,6760,9902,43
247,247,1484,6760,9919,43
248,248,1428,6760,9919,43
249,249,1204,6760,9919,43
250,250,1300,6760,9919,43
251,251,1288,6760,9919,43
252,252,1432,6760,9921,43
253,253,1132,6760,9921,43
254,254,3656,6760,9921,43
255,255,1728,6760,9922,43
256,256,3064,6760,9922,43
257,257,2176,6760,9922,43
258,258,2792,6760,9922,43
259,259,3060,6760,9922,43
260,260,2316,6760,9922,43
261,261,3656,6760,9922,43
262,262,1136,6760,9922,43
263,263,1656,6760,9925,43
264,264,2172,6760,9932,43
265,265,2320,6760,9948,43
266,266,2472,6760,9970,43
267,267,3360,6760,9970,43
268,268,2908,6760,9994,43
269,269,4092,6760,9994,43
270,270,2024,6760,9995,43
271,271,2912,6760,9995,43
272,272,1580,6760,9996,43
273,273,3064,6760,9997,43
274,274,3064,6760,9997,43
275,275,3360,6760,9998,43
276,276,5280,6760,9998,43
277,277,5872,6760,9998,43
278,278,2768,6760,9998,43
279,279,4712,6760,10011,43
280,280,1880,6760,10012,43
281,281,3656,6760,10013,43
282,282,2616,6760,10013,43
283,283,3800,6760,10013,43
284,284,1012,6760,10014,43
285,285,1580,6760,10018,43
286,286,1592,6760,10018,43
287,287,1048,6760,10018,43
288,288,1880,6760,10018,43
289,289,1880,6760,10018,43
290,290,1428,6760,10018,43
291,291,2768,6760,10018,43
292,292,3500,6760,10018,43
293,293,5280,6760,10021,43
294,294,3440,6760,10021,43
295,295,2024,6760,10022,43
296,296,2072,6760,10022,43
297,297,2176,6760,10022,43
298,298,3952,6760,10022,43
299,299,2176,6760,10022,43
300,300,2768,6760,10022,43
301,301,6320,6760,10027,43
302,302,3796,6760,10027,43
303,303,4392,6760,10027,43
304,304,4544,6760,10027,43
305,305,2768,6760,10027,43
306,306,2664,6760,10027,43
307,307,2616,6760,10027,43
308,308,1724,6760,10029,43
309,309,3360,6760,10029,43
310,310,1600,6760,10029,43
311,311,1328,6760,10034,43
312,312,3360,6760,10036,43
313,313,2320,6760,10042,43
314,314,1880,6760,10044,43
315,315,1728,6760,10044,43
316,316,3504,6760,10044,43
317,317,2024,6760,10044,43
318,318,2320,6760,10044,43
319,319,1048,6760,10044,43
320,320,1336,6760,10061,43
321,321,4392,6760,10061,43
322,322,4688,6760,10062,43
323,323,2768,6760,10062,43
324,324,1944,6760,10062,43
325,325,1772,6760,10083,43
326,326,3952,6760,10083,43
327,327,1620,6760,10083,43
328,328,1956,6760,10083,43
329,329,1728,6760,10083,43
330,330,6316,6760,10083,43
331,331,5944,6760,10083,43
332,332,2764,6760,10083,43
333,333,2320,6760,10083,43
334,334,1584,6760,10083,43
335,335,1432,6760,10083,43
336,336,992,6760,10089,43
337,337,1880,6760,10089,43
338,338,4688,6760,10089,43
339,339,4688,6760,10090,43
340,340,4096,6760,10090,43
341,341,1636,6760,10090,43
342,342,1584,6760,10090,43
343,343,3948,6760,10090,43
344,344,3504,6760,10092,43
345,345,1352,6760,10092,43
346,346,1288,6760,10092,43
347,347,1880,6760,10092,43
348,348,1640,6760,10105,43
349,349,840,6760,10105,43
350,350,2240,6760,10105,43
351,351,1432,6760,10105,43
352,352,3064,6760,10105,43
353,353,1192,6760,10105,43
354,354,992,6760,10107,43
355,355,1784,6760,10107,43
356,356,1324,6760,10107,43
357,357,1644,6760,10107,43
358,358,2952,6760,10108,43
359,359,1880,6760,10114,43
360,360,1584,6760,10115,43
361,361,1880,6760,10115,43
362,362,4028,6760,10115,43
363,363,3360,6760,10125,43
364,364,3356,6760,10125,43
365,365,1196,6760,10125,43
366,366,1584,6760,10126,43
367,367,2616,6760,10126,43
368,368,1584,6760,10137,43
369,369,1728,6760,10137,43
370,370,2912,6760,10137,43
371,371,1308,6760,10138,43
372,372,1288,6760,10142,43
373,373,2044,6760,10142,43
374,374,1136,6760,10145,43
375,375,2848,6760,10146,43
376,376,1728,6760,10146,43
377,377,2768,6760,10146,43
378,378,2024,6760,10147,43
379,379,2176,6760,10147,43
380,380,1764,6760,10147,43
381,381,1336,6760,10147,43
382,382,1880,6760,10147,43
383,383,2472,6760,10147,43
384,384,1496,6760,10147,43
385,385,1584,6760,10148,43
386,386,4844,6760,10148,43
387,387,4096,6760,10152,43
388,388,2616,6760,10152,43
389,389,4096,6760,10152,43
390,390,2472,6760,10152,43
391,391,1728,6760,10152,43
392,392,3204,6760,10155,43
393,393,1880,6760,10155,43
394,394,1580,6760,10155,43
395,395,1432,6760,10155,43
396,396,1880,6760,10155,43
397,397,2024,6760,10163,43
398,398,2544,6760,10169,43
399,399,1880,6760,10169,43
400,400,2472,6760,10169,43
401,401,2692,6760,10170,43
402,402,3064,6760,10170,43
403,403,1348,6760,10170,43
404,404,3504,6760,10170,43
405,405,2172,6760,10175,43
406,406,2252,6760,10175,43
407,407,1436,6760,10175,43
408,408,6616,6760,10176,43
409,409,1792,6760,10185,43
410,410,3248,6760,10195,43
411,411,1764,6760,10195,43
412,412,1064,6760,10195,43
413,413,1876,6760,10195,43
414,414,1584,6760,10195,43
415,415,2472,6760,10195,43
416,416,1656,6760,10195,43
417,417,1584,6760,10195,43
418,418,1288,6760,10195,43
419,419,2176,6760,10195,43
420,420,1608,6760,10212,43
421,421,1432,6760,10212,43
422,422,2092,6760,10220,43
423,423,2024,6760,10220,43
424,424,1504,6760,10220,43
425,425,1432,6760,10220,43
426,426,2024,6760,10220,43
427,427,3504,6760,10220,43
428,428,2616,6760,10220,43
429,429,1880,6760,10220,43
430,430,1584,6760,10220,43
431,431,2320,6760,10220,43
432,432,2344,6760,10222,43
433,433,2096,6760,10223,43
434,434,1804,6760,10223,43
435,435,2256,6760,10223,43
436,436,992,6760,10224,43
437,437,3796,6760,10232,43
438,438,9124,6760,10234,43
439,439,3064,9124,10234,59
440,440,1800,9124,10234,59
441,441,2024,9124,10234,59
442,442,1456,9124,10234,59
443,443,2616,9124,10235,59
444,444,4100,9124,10235,59
445,445,2024,9124,10235,59
446,446,7944,9124,10235,59
447,447,2616,9124,10237,59
448,448,992,9124,10237,59
449,449,2176,9124,10237,59
450,450,2912,9124,10237,59
451,451,1640,9124,10237,59
452,452,2316,9124,10239,59
453,453,3244,9124,10240,59
454,454,1804,9124,10240,59
455,455,2912,9124,10240,59
456,456,1136,9124,10240,59
457,457,1584,9124,10242,59
458,458,3504,9124,10255,59
459,459,1880,9124,10255,59
460,460,1040,9124,10255,59
461,461,1200,9124,10255,59
462,462,2320,9124,10255,59
463,463,4108,9124,10255,59
464,464,3360,9124,10255,59
465,465,3360,9124,10255,59
466,466,1880,9124,10255,59
467,467,2916,9124,10255,59
468,468,2176,9124,10255,59
469,469,1880,9124,10255,59
470,470,2664,9124,10261,59
471,471,1432,9124,10261,59
472,472,2176,9124,10261,59
473,473,1728,9124,10261,59
474,474,1312,9124,10261,59
475,475,724,9124,10261,59
476,476,3204,9124,10261,59
477,477,3216,9124,10261,59
478,478,2392,9124,10261,59
479,479,3948,9124,10261,59
480,480,1444,9124,10261,59
481,481,2172,9124,10265,59
482,482,7208,9124,10265,59
483,483,2796,9124,10270,59
484,484,1604,9124,10270,59
485,485,1288,9124,10270,59
486,486,2024,9124,10270,59
487,487,5804,9124,10270,59
488,488,2044,9124,10270,59
489,489,1584,9124,10270,59
490,490,1728,9124,10270,59
491,491,2472,9124,10270,59
492,492,1724,9124,10270,59
493,493,1348,9124,10270,59
494,494,2472,9124,10270,59
495,495,1216,9124,10270,59
496,496,1584,9124,10270,59
497,497,1176,9124,10270,59
498,498,2244,9124,10270,59
499,499,1288,9124,10272,59
500,500,1584,9124,10272,59
501,501,1880,9124,10272,59
502,502,1428,9124,10272,59
503,503,2920,9124,10272,59
504,504,1304,9124,10272,59
505,505,2024,9124,10272,59
506,506,1584,9124,10272,59
507,507,1880,9124,10272,59
508,508,2024,9124,10272,59
509,509,2176,9124,10272,59
510,510,2768,9124,10272,59
511,511,2988,9124,10272,59
512,512,3800,9124,10280,59
513,513,1432,9124,10280,59
514,514,1728,9124,10280,59
515,515,2176,9124,10280,59
516,516,1880,9124,10280,59
517,517,1584,9124,10280,59
518,518,1728,9124,10280,59
519,519,2912,9124,10280,59
520,520,2768,9124,10285,59
521,521,2060,9124,10288,59
522,522,1324,9124,10288,59
523,523,1432,9124,10288,59
524,524,1728,9124,10292,59
525,525,2216,9124,10292,59
526,526,2320,9124,10292,59
527,527,3092,9124,10292,59
528,528,1440,9124,10292,59
529,529,1584,9124,10292,59
530,530,992,9124,10296,59
