,Iteration,distance,best_run,states,best_score
195,195,5724,10312,7339,67
196,196,5572,10312,7343,67
197,197,5872,10312,7347,67
198,198,2472,10312,7347,67
199,199,5728,10312,7347,67
200,200,6104,10312,7347,67
201,201,3132,10312,7351,67
202,202,11052,10312,7355,67
203,203,4032,11052,7356,72
204,204,4172,11052,7357,72
205,205,7944,11052,7360,72
206,206,6020,11052,7360,72
207,207,4096,11052,7361,72
208,208,7800,11052,7365,72
209,209,3064,11052,7367,72
210,210,2320,11052,7367,72
211,211,2472,11052,7372,72
212,212,5056,11052,7379,72
213,213,3712,11052,7381,72
214,214,5136,11052,7384,72
215,215,4096,11052,7384,72
216,216,3208,11052,7386,72
217,217,5728,11052,7392,72
218,218,2912,11052,7397,72
219,219,2696,11052,7401,72
220,220,11792,11052,7409,72
221,221,4688,11792,7410,77
222,222,2912,11792,7410,77
223,223,4248,11792,7420,77
224,224,2768,11792,7420,77
225,225,2696,11792,7421,77
226,226,2912,11792,7425,77
227,227,3208,11792,7425,77
228,228,1368,11792,7427,77
229,229,3504,11792,7427,77
230,230,3360,11792,7428,77
231,231,2544,11792,7437,77
232,232,5136,11792,7442,77
233,233,11496,11792,7443,77
234,234,3652,11792,7443,77
235,235,4688,11792,7447,77
236,236,2768,11792,7458,77
237,237,5136,11792,7462,77
238,238,4248,11792,7465,77
239,239,2472,11792,7471,77
240,240,1428,11792,7471,77
241,241,2024,11792,7472,77
242,242,3560,11792,7472,77
243,243,1288,11792,7482,77
244,244,7648,11792,7482,77
245,245,3208,11792,7482,77
246,246,1488,11792,7496,77
247,247,3580,11792,7497,77
248,248,6168,11792,7500,77
249,249,2840,11792,7500,77
250,250,4328,11792,7500,77
251,251,4248,11792,7507,77
252,252,1660,11792,7508,77
253,253,2912,11792,7508,77
254,254,7352,11792,7518,77
255,255,1880,11792,7518,77
256,256,3288,11792,7534,77
257,257,3360,11792,7538,77
258,258,2988,11792,7538,77
259,259,3064,11792,7539,77
260,260,3952,11792,7540,77
261,261,1876,11792,7540,77
262,262,3360,11792,7545,77
